company_name,world_rank,headquarter,market cap(Billion USD),business_sector
APPLE,1,USA,"3,080.00","Technology, Mobiles & Accessories, Electronics, Consumer Electronics, Computers Hardware"
MICROSOFT CORPORATION,2,USA,"2,516.00","Technology, Software and IT, Laptops, Video Games / Mobile Games / Tech Games / Casino Games, Gaming"
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),3,Saudi Arabia,"2,083.70","Energy, Oil and Gas, Chemicals, Oil Refining, Oil and Gas Pipeline Transport"
ALPHABET,4,USA,"1,686.00","Technology, Internet or Mobile App Based Business, Software and IT, Software Products, Cloud Services"
AMAZON.COM,5,USA,"1,357.00","eCommerce, Internet or Mobile App Based Business, Cloud Services, Software and IT, Artificial Intelligence"
NVIDIA CORPORATION,6,USA,"1,155.00","Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Computers Hardware"
TESLA,7,USA,844.48,"Electric Vehicles, Cars, Automobile, Solar Power Devices, Capital Goods"
META PLATFORMS,8,USA,834.12,"Communication Services, Internet or Mobile App Based Business, Social Media, Artificial Intelligence, Internet of Things"
BERKSHIRE HATHAWAY,9,USA,767.33,"Investments, Financial Services, Insurance, Conglomerate"
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),10,Taiwan,523.1,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Processors / Chips"
VISA,11,USA,493.75,"Financial Services, Technology, Software and IT, Credit Cards, Digital Payment Solution Services"
UNITEDHEALTH GROUP,12,USA,468.23,"Healthcare, Healthcare Service, Insurance, HealthCare Products"
LVMH,13,France,463.23,"Fashion and Luxury Goods, Non-Alcoholic Beverages, Clothing, Jewellery, Watches"
J P MORGAN CHASE & CO,14,USA,456,"Financial Services, Banking Services, Credit Cards, Asset Management"
JOHNSON & JOHNSON,15,USA,453.43,"Healthcare, Medical Equipment, Pharmaceutical, FMCG, Biotechnology"
ELI LILLY AND COMPANY,16,USA,435.22,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service"
WALMART,17,USA,430.61,"Retail, Super Markets, eCommerce, Hypermarkets, Consumer Services"
TENCENT,18,China,429.37,"Communication Services, Investments, Internet or Mobile App Based Business, Advertising, Media"
EXXON MOBIL CORPORATION,19,USA,421.12,"Energy, Oil and Gas, Petrochemicals, Natural Gas Generation, Electricity Generation"
MASTERCARD,20,USA,372.38,"Digital Payment Solution Services, Financial Services, Credit Cards, Technology, Business Services"
BROADCOM,21,USA,371.33,"Technology, Electronics, Semiconductors, Processors / Chips, Networking Products / Solutions"
SAMSUNG ELECTRONICS,22,South Korea,368.83,"Technology, Electronics, Semiconductors, Mobiles & Accessories, Cameras & Accessories"
PROCTER & GAMBLE COMPANY,23,USA,368.65,"FMCG, Consumer Non Durables, Beauty and Personal Care, Personal Care Products, HealthCare Products"
NOVO NORDISK A/S,24,Denmark,356.92,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service"
KWEICHOW MOUTAI,25,China,333.38,"Beverages, Alcoholic Beverages, Food Products, FMCG, Food and Beverage"
HOME DEPOT,26,USA,333.15,"Retail, eCommerce, Construction Materials, Consumer Services"
NESTLE AG,27,Switzerland,329.05,"FMCG, Food Products, Beverages, Dairy Products, Non-Alcoholic Beverages"
ORACLE CORPORATION,28,USA,314.83,"Technology, Software and IT, Software Products, Cloud Services, Software and IT Infrastructure"
CHEVRON CORPORATION,29,USA,297,"Energy, Oil and Gas, Chemicals, Natural Gas Generation, Petrochemicals"
ASML HOLDING,30,Netherlands,287.1,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments"
COCA-COLA COMPANY,31,USA,270.2,"Beverages, Non-Alcoholic Beverages, FMCG, Consumer Non Durables"
MERCK & CO,32,USA,269.83,"Healthcare, Pharmaceutical, Animal Healthcare Companies, Animal Health Medicine, Biotechnology"
ABBVIE,33,USA,266.14,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service"
PEPSICO,34,USA,261.98,"Beverages, Food Products, FMCG, Consumer Non Durables, Food and Beverage"
ALIBABA GROUP HOLDING,35,China,257.66,"eCommerce, Internet or Mobile App Based Business, Technology, Software and IT, Business Services"
BANK OF AMERICA CORPORATION,36,USA,253.72,"Financial Services, Banking Services, Investment Banking, Insurance, Credit Cards"
L'OREAL,37,France,251.98,"Cosmetics, Beauty and Personal Care, FMCG, Consumer Non Durables, Consumer Goods"
ROCHE HOLDING AG,38,Switzerland,249.73,"Healthcare, Pharmaceutical, Medical Equipment, Biotechnology, Healthcare Service"
COSTCO WHOLESALE CORPORATION,39,USA,249.63,"Retail, eCommerce, Food Service, Hypermarkets, Consumer Services"
ADOBE,40,USA,241.06,"Technology, Software and IT, Software Products, Software and IT Infrastructure, Artificial Intelligence"
PROSUS,41,Netherlands,239.99,"Communication Services, Internet or Mobile App Based Business, eCommerce, Technology, Investments"
HERMES INTERNATIONAL,42,France,237.05,"Luxury Goods, Retail, Fashion and Luxury Goods, Beauty and Personal Care, Home & Furniture"
TOYOTA MOTOR CORPORATION,43,Japan,221.7,"Automobile, Cars, Capital Goods, Passenger Vehicles"
ASTRAZENECA,44,UK,221.35,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products"
TATA GROUP,44,India,220.82,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service"
NOVARTIS AG,45,Switzerland,219.73,"Technology, Cloud Services, Artificial Intelligence, Software Products, Software and IT"
SALESFORCE.COM,46,USA,217.44,"Financial Services, Banking Services, Investment Banking"
ICBC,47,China,216.72,"Healthcare, Medical Equipment, Pharmaceutical, Technology Hardware and Instruments, Electronics"
THERMO FISHER SCIENTIFIC,48,USA,214.67,"Restaurants, Food Products, Non-Alcoholic Beverages, Consumer Services, Entertainment"
MCDONALD'S CORPORATION,49,USA,212.27,"Technology, Network Hardware and Software, Telecom Equipment, Internet of Things, Computers Hardware"
CISCO SYSTEMS,50,USA,209.68,"Energy, Conglomerate, Oil and Gas, Chemicals, Telecom"
RELIANCE INDUSTRIES,51,India,204.42,"Energy, Oil and Gas, Chemicals, Natural Gas Generation, Electricity Generation"
SHELL PLC,52,Netherlands,203.63,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology"
PFIZER,53,USA,203.56,"Non-Alcoholic Beverages, Beverages, FMCG, Consumer Non Durables, Alcoholic Beverages"
FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA),54,Mexico,199.21,"Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services"
ACCENTURE,55,Ireland,196.14,"Energy, Oil and Gas, Petrochemicals, Natural Gas Generation, Chemicals"
