Model,price,RAM,Processor,Operating System,Storage,Display Size
MSI Core i9 13th Gen - (64 GB/4 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090) Titan G...,"₹5,99,990",64 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,4 TB SSD,43.94 cm (17.3 Inch) Display
MSI Core i9 13th Gen - (64 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 4080) Titan G...,"₹4,89,990",64 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 Inch) Display
MSI GT77 Titan Core i9 12th Gen - (64 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 30...,"₹4,50,000",64 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 inch) Display
ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/1...,"₹4,29,990",32 GB DDR5 RAM,AMD Ryzen 9 16 Core Processor,Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
ASUS ROG Strix Scar 17 SE (2022) with 90Whr Battery Core i9 12th Gen - (32 GB/4 TB SSD/Windows 11 Home...,"₹3,99,990",32 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,4 TB SSD,43.94 cm (17.3 inch) Display
DELL Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 4080 GDDR6/2...,"₹3,96,990",32 GB LPDDR5 RAM,Intel Core i9 Processor (13th Gen),64 bit Windows 11 Operating System,1 TB SSD,40.64 cm (16 inch) Display
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX - (32 G...,"₹3,91,990",32 GB DDR5 RAM,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/1...,"₹3,79,990",32 GB DDR5 RAM,AMD Ryzen 9 16 Core Processor,Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
MSI Core i9 13th Gen - (64 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090) Raider ...,"₹3,79,990",64 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 Inch) Display
ASUS ROG Zephyrus M16 (2023) with 90WHr Battery Intel H-Series Core i9 13th Gen - (32 GB/2 TB SSD/Wind...,"₹3,64,990",32 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX - (32 G...,"₹3,61,990",32 GB DDR5 RAM,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
MSI Core i9 13th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090/240 Hz) ...,"₹3,59,990",32 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,43.18 cm (17 Inch) Display
DELL Alienware Core i9 12th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,"₹3,34,990",32 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,1 TB HDD|1 TB SSD,43.94 cm (17.3 Inch) Display
